Latitude, Longitude, Data Value
41, -43, 103.516
41, -42, 90.3614
41, -41, -17.4621
41, -40, -136.958
41, -39, -92.7153
41, -38, -23.4152
41, -37, -21.0389
41, -36, -13.4022
41, -35, 0.085883
41, -34, 20.3618
41, -33, 19.1492
41, -32, 39.1165
41, -31, 115.714
41, -30, 90.9684
41, -29, 44.4692
41, -28, 13.2334
41, -27, -24.9892
41, -26, -2.30629
41, -25, 56.8001
41, -24, 72.6199
41, -23, 48.009
40, -85, -999
40, -84, -999
40, -83, -999
40, -82, -999
40, -81, -999
40, -80, -999
40, -79, -999
40, -78, -999
40, -77, -999
40, -76, -999
40, -75, -999
40, -74, 57.1441
40, -73, 57.1138
40, -72, 70.6656
40, -71, 35.2733
40, -70, 22.1579
40, -69, 11.1766
40, -68, -30.8115
40, -67, 127.27
40, -66, 163.68
40, -65, -206.432
40, -64, -374.969
40, -63, -253.367
40, -62, 68.3173
40, -61, 301.668
40, -60, 173.706
40, -59, -78.3377
40, -58, 98.7719
40, -57, 150.519
40, -56, 32.3787
40, -55, -5.43248
40, -54, 239.622
40, -53, 534.926
40, -52, 522.081
40, -51, 62.1649
40, -50, -177.286
40, -49, -85.6603
40, -48, 68.5846
40, -47, 137.644
40, -46, 46.9398
40, -45, -99.8031
40, -44, -27.8352
40, -43, -56.2148
40, -42, -94.1411
40, -41, -70.8306
40, -40, -33.2816
40, -39, 15.4623
40, -38, 20.2667
40, -37, 0.213405
40, -36, 10.5835
40, -35, 64.3686
40, -34, 74.6998
40, -33, 24.4832
40, -32, 41.3547
40, -31, 74.48
40, -30, 54.1346
40, -29, 30.7159
40, -28, 23.1792
40, -27, -13.6002
40, -26, 11.6693
40, -25, 58.9697
40, -24, 64.7668
40, -23, 20.866
39, -85, -999
39, -84, -999
39, -83, -999
39, -82, -999
39, -81, -999
39, -80, -999
39, -79, -999
39, -78, -999
39, -77, -999
39, -76, -999
39, -75, 39.3865
39, -74, 30.3912
39, -73, 32.2282
39, -72, 38.312
39, -71, 3.74173
39, -70, -11.5084
39, -69, -88.5157
39, -68, -165.133
39, -67, 100.901
39, -66, 270.599
39, -65, 16.1167
39, -64, -282.481
39, -63, -194.132
39, -62, 117.459
39, -61, 335.985
39, -60, 229.54
39, -59, -288.806
39, -58, -539.144
39, -57, -136.091
39, -56, 141.467
39, -55, 198.796
39, -54, 244.914
39, -53, 251.007
39, -52, 227.575
39, -51, 83.4801
39, -50, -224.356
39, -49, -289.905
39, -48, 32.4801
39, -47, 182.937
39, -46, 130.295
39, -45, -77.8257
39, -44, -101.605
39, -43, -103.24
39, -42, -91.7817
39, -41, 1.9979
39, -40, 80.8125
39, -39, 73.5309
39, -38, 19.2323
39, -37, -17.7175
39, -36, 28.8922
39, -35, 104.093
39, -34, 78.1025
39, -33, 47.2791
39, -32, 83.4671
39, -31, 71.8561
39, -30, 60.687
